sentence	label
[CLS]  Quelle est la taxe par habitant imposée aux hommes adultes non musulmans, connue sous le nom de ?  [SEP]  Les relations entre l'islam et le judaïsme sont complexes. Traditionnellement, les juifs et les chrétiens vivant dans les pays musulmans, connus sous le nom de dhimmis, étaient autorisés à pratiquer leur religion et à administrer leurs affaires intérieures, mais ils étaient soumis à certaines conditions. Ils devaient payer la jizya (une taxe par habitant imposée aux hommes adultes non musulmans libres) à l "État islamique. Dhimmis avait un statut inférieur sous le régime islamique. Ils souffraient de plusieurs handicaps sociaux et juridiques tels que l'interdiction de porter des armes ou de témoigner devant les tribunaux dans les affaires impliquant des musulmans. Bon nombre de ces handicaps étaient hautement symboliques. Le handicap décrit par Bernard Lewis comme" le plus dégradant "était l'obligation de porter des vêtements distinctifs, non trouvés dans le Coran ou le hadith, mais inventés au début du Moyen-Âge à Bagdad ; son application était très erratique. D'autre part, les juifs	0
[CLS]  Combien de chansons polonaises de Chopin ont été translittérées pour piano par Liszt ?  [SEP]  Deux des élèves de longue date de Chopin, Karol Mikuli (1821) et Georges Mathias, étaient eux-mêmes professeurs de piano et transmettaient les détails de son jeu à leurs propres élèves, dont certains (comme Raoul Koczalski) devaient faire des enregistrements de sa musique. Parmi les autres pianistes et compositeurs influencés par le style de Chopin, citons Louis Moreau Gottschalk, Édouard Wolff (1816) et Pierre Zimmermann. Debussy consacra ses propres études de piano de 1915 à la mémoire de Chopin ; il joua souvent la musique de Chopin pendant ses études au Conservatoire de Paris et entreprit le montage de la musique de piano de Chopin pour l'éditeur Jacques Durand.	1
[CLS]  Quel type de brosses est le moins cher ?  [SEP]  Un moteur à MP n'a pas de champ d'enroulement sur le cadre du stator, mais compte plutôt sur les MP pour fournir le champ magnétique contre lequel le champ du rotor interagit pour produire le couple. Des enroulements de compensation en série avec l'armature peuvent être utilisés sur les gros moteurs pour améliorer la commutation sous charge. Comme ce champ est fixe, il ne peut pas être ajusté pour le contrôle de vitesse. Les champs de MP (stators) sont pratiques dans les moteurs miniatures pour éliminer la consommation d'énergie du champ d'enroulement. La plupart des gros moteurs à courant continu sont du type "dynamo", qui ont des enroulements de stator. Historiquement, les MP ne pouvaient pas retenir un flux élevé s'ils étaient démontés ; les enroulements de champ étaient plus pratiques pour obtenir la quantité nécessaire de flux. Cependant, les grosses MP sont coûteuses, aussi dangereuses et difficiles à assembler ; cela favorise les champs d'en	1
[CLS]  Quel monument célèbre dans le monde entier est situé sur la rive de la Leine ?  [SEP]  Georgii et Jacobi, lieu de prédication de l "évêque de la Landeskirche Hannovers luthérienne) et de l'hôtel de ville, ainsi que la maison Leibniz, la maison Nolte et la tour Beguine. Un très beau quartier de la vieille ville est le Kreuz-Church-Quarter autour de l" église Kreuz, avec de nombreuses petites ruelles agréables. À proximité de l'ancien palais royal des sports, aujourd'hui appelé théâtre Ballhof. Aux abords de la vieille ville se trouvent le Market Hall, le palais Leine et les ruines de l "église Aegidien, qui est maintenant un monument aux victimes de la guerre et de la violence. Par la porte Marstall, vous arrivez à la rive de la rivière Leine, où se trouvent les célèbres Nanas de Niki de Saint-Phalle.	0
[CLS]  L'essor des fabriques d'armes à feu au Connecticut vaut à l'État quel nom ?  [SEP]  La ville a fait fortune à la fin du XVIIIe siècle grâce aux inventions et à l'activité industrielle d'Eli Whitney, un diplômé de Yale qui est resté à New Haven pour mettre au point le coton-gin et établir une usine de fabrication de pistolets dans le nord de la ville, près de la ligne de démarcation de la ville de Hamden. Cette région est encore connue sous le nom de Whitneyville, et la route principale qui traverse les deux villes est maintenant connue sous le nom d'avenue Whitney. L'usine est maintenant le musée Eli Whitney, qui met particulièrement l'accent sur les activités pour les enfants et les expositions relatives à la compagnie A. C. Gilbert. Son usine, ainsi que celle de Simeon North, et les secteurs dynamiques de la fabrication d'horloges et de la quincaillerie en laiton, ont contribué à faire du Connecticut une puissante économie de fabrication ; tant de fabricants d'	0
[CLS]  Qu'est-ce qu'un groupe de tribus germaniques ont célébré ?  [SEP]  Le carnaval (voir les autres noms et orthographes) est une période chrétienne qui précède la période chrétienne du carême. Les principaux événements se produisent généralement en février ou au début de mars, pendant la période connue sous le nom de Shrovetide (ou Pré-carême). Le carnaval comprend habituellement une célébration publique et / ou un défilé combinant certains éléments d'un cirque, des masques et une fête de rue publique. Les gens portent des masques et des costumes pendant de nombreuses fêtes de ce genre, ce qui leur permet de perdre leur individualité quotidienne et de ressentir un sens accru de l'unité sociale. La consommation excessive d'alcool, de viande et d'autres aliments interdits pendant le carnaval est extrêmement courante. D'autres caractéristiques communes du carnaval comprennent des batailles simulées telles que des bagarres de nourriture ; de la satire sociale et de la raillerie des autorités ; le corps grotesque qui	1
[CLS]  À quoi sert un pesticide ?  [SEP]  En général, un pesticide est un agent chimique ou biologique (tel qu'un virus, une bactérie, un antimicrobien ou un désinfectant) qui décourage, inhibe, tue ou décourage les ravageurs. Les ravageurs cibles peuvent comprendre les insectes, les phytopathogènes, les mauvaises herbes, les mollusques, les oiseaux, les mammifères, les poissons, les nématodes (vers ronds) et les microbes qui détruisent les biens, causent des nuisances, propagent des maladies ou sont des vecteurs de maladies. Bien que les pesticides présentent des avantages, certains ont aussi des inconvénients, comme leur toxicité potentielle pour les humains et d'autres espèces. Selon la Convention de Stockholm sur les polluants organiques persistants, 9 des 12 produits chimiques organiques les plus dangereux et persistants sont des pesticides organochlorés.	1
[CLS]  Qui a dit "beaucoup de gens qui se sont plaints de nous recevoir le MBE a reçu thris pour l'héroïsme dans la guerre.  [SEP]  Les membres des Beatles ont été nommés MBE en 1965. John Lennon a justifié les mérites comparatifs de son investiture en comparant l'appartenance militaire à l'Ordre : "Beaucoup de gens qui se plaignaient que nous recevions le MBE [statut] ont reçu le leur pour notre héroïsme pendant la guerre." Nous avons reçu le nôtre pour avoir diverti d'autres personnes. "Je dirais que nous méritons le nôtre plus tard." Lennon a rendu son insigne de MBE le 25 novembre 1969 dans le cadre de ses protestations continues contre la paix. D'autres critiques portent sur l'affirmation que de nombreux récipiendaires de l'Ordre sont récompensés par des honneurs pour avoir simplement fait leur travail ; les critiques prétendent que la fonction publique et la magistrature reçoivent beaucoup plus d'ordres et d'honneurs que les dirigeants d'autres professions.	0
[CLS]  À quelle famille de langues appartiennent les Marshallais ?  [SEP]  La majorité des citoyens des îles Marshall sont d'origine marshallaise, bien qu'il y ait un petit nombre d'immigrants des États-Unis, de Chine, des Philippines et d'autres îles du Pacifique. Les deux langues officielles sont le marshallais, qui est membre des langues malaiso-polynésiennes, et l'anglais. Presque toute la population des îles pratique une religion, les trois quarts du pays suivant soit l'Église unie du Christ, Congrégation des Îles Marshall (UCCCMI), soit les Assemblées de Dieu.	0
[CLS]  Combien de temps Avicenna a étudié la philosophie ?  [SEP]  Il se tourna vers la médecine à 16 ans, et non seulement il apprit la théorie médicale, mais aussi, grâce à la présence gratuite des malades, il avait, selon ses propres dires, découvert de nouvelles méthodes de traitement. L'adolescent obtint le statut de médecin qualifié à 18 ans, et découvrit que "la médecine n'est pas une science dure et épineuse, comme les mathématiques et la métaphysique, alors j'ai rapidement fait de grands progrès ; je suis devenu un excellent médecin et j'ai commencé à soigner des patients, en utilisant des remèdes approuvés". La renommée du jeune médecin s'étendit rapidement, et il traita de nombreux patients sans demander de paiement.	1
[CLS]  Quelles années ont été les étés les plus chauds de l'Oklahoma ?  [SEP]  Tous les États connaissent fréquemment des températures supérieures à 100 ° F (38 ° C) ou inférieures à 0 ° F (− 18 ° C), bien que des températures inférieures à zéro soient rares dans le centre-sud et le sud-est de l'Oklahoma. Les chutes de neige varient en moyenne de moins de 4 pouces (10 cm) dans le sud à un peu plus de 20 pouces (51 cm) à la frontière du Colorado, dans l'enclave. L'État abrite le Storm Prediction Center, le National Severe Storms Laboratory et la Warning Decision Training Branch, qui font tous partie du National Weather Service et sont situés à Norman. La température la plus élevée enregistrée en Oklahoma, soit 120 ° F (49 ° C), a été enregistrée à Tipton le 27 juin 1994 et la température la plus basse enregistrée à Nowata le 10 février 2011, soit − 31 ° F (− 35 ° C).	1
[CLS]  Que signifie "Articulata" ?  [SEP]  Dans les protostomes, les annélides étaient groupés avec les arthropodes sous le super-groupe Articulata ("animaux articulés"), car la segmentation est évidente chez la plupart des membres des deux phylums. Cependant, les gènes qui commandent la segmentation chez les arthropodes ne semblent pas faire la même chose chez les annélides. Les arthropodes et les annélides ont tous deux des parents proches qui ne sont pas segmentés. Il est au moins aussi facile de présumer qu'ils ont développé des corps segmentés indépendamment qu'il est possible de présumer que le protostome ancestral ou le protostome bilatéral était segmenté et que la segmentation a disparu chez de nombreux phylums descendants.	0
[CLS]  En 1244, le pouvoir de commander et l'armée ont été utilisés pour faire quoi ?  [SEP]  Vers le XIVe siècle, il y avait peu de différence entre les chevaliers et la szlachta en Pologne. Les membres de la szlachta avaient l'obligation personnelle de défendre le pays (pospolite ruszenie), devenant ainsi la classe sociale la plus privilégiée du royaume.	1
[CLS]  Sur quoi Wood croit-il que les États-Unis fonctionnent ?  [SEP]  Robert S. Wood a fait valoir que les États-Unis sont un modèle pour le monde pour ce qui est de la façon dont une séparation de l "Église et de l" État ne profite ni à l "Église ni à l" État et permet à une variété de religions de s "épanouir. Prenant la parole au Center for New Religions de Toronto, Wood a déclaré que la liberté de conscience et de réunion permise par un tel système a mené à une" religiosité remarquable "aux États-Unis qui n'existe pas dans les autres pays industrialisés. Wood croit que les États-Unis fonctionnent sur une" sorte de religion civique ", ce qui inclut une croyance généralement partagée en un créateur qui" s'attend à mieux de nous ". Au-delà de cela, les individus sont libres de décider comment ils veulent croire et remplir leurs propres croyances et exprimer leur conscience. Il appelle cette approche le" génie du sentiment religieux aux États-Unis ".	0
[CLS]  Quel était le style correspondant à Empire en Grande-Bretagne ?  [SEP]  Bien que l'architecture néoclassique utilise le même vocabulaire classique que l'architecture baroque récente, elle a tendance à mettre l'accent sur ses qualités planaires plutôt que sur les volumes sculpturaux. Les projections et les récessions et leurs effets de lumière et d'ombre sont plus plats ; les bas-reliefs sculpturaux sont plus plats et tendent à être encadrés de frises, de tablettes ou de panneaux. Ses caractéristiques individuelles clairement articulées sont isolées plutôt qu'interpénétrantes, autonomes et complètes en elles-mêmes.	1
[CLS]  De quelle manipulation du paysage s'agit-il ?  [SEP]  De nombreux chasseurs-cueilleurs manipulent consciemment le paysage en coupant ou en brûlant des plantes indésirables, tout en encourageant la production de plantes désirables, certaines allant même jusqu "à brûler les déchets de coupe pour créer un habitat pour le gibier. Ces activités sont à une échelle entièrement différente de celles associées à l'agriculture, mais elles sont néanmoins une domestication à un certain niveau. Aujourd'hui, presque tous les chasseurs-cueilleurs dépendent, dans une certaine mesure, de sources de nourriture domestiquées qui sont soit produites à temps partiel, soit échangées contre des produits acquis dans la nature.	0
[CLS]  Quand les dix cloches ont-elles été lancées ?  [SEP]  Les cloches de l'abbaye ont été rénovées en 1971 et sont maintenant composées de dix cloches, suspendues pour le changement, coulées en 1971 par la Whitechapel Bell Foundry, accordées aux notes : F #, E, D, C #, B, A, G, F #, E et D. La cloche Tenor en D (588,5 Hz) a un poids de 30 cwt, 1 qtr, 15 lb (3403 lb ou 1544 kg).	0
[CLS]  En quelle année les fabricants privés ont-ils été autorisés à créer des pièces d'une masse exacte de 2,6 g ?  [SEP]  En 144 avant J.-C., l'empereur Jing abolit la frappe privée au profit de la frappe au niveau du gouvernement central et des commanderies ; il introduisit aussi une nouvelle pièce. L'empereur Wu en introduisit une autre en 120 avant J.-C., mais un an plus tard, il abandonna complètement l'interdiction des liangs au profit de la pièce wuzhu, pesant 3,2 g (0,11 oz). Le wuzhu devint la pièce standard de la Chine jusqu'à la dynastie Tang (618). Son utilisation fut brièvement interrompue par plusieurs nouvelles monnaies introduites sous le régime de Wang Mang jusqu'à ce qu'elle fût rétablie en 40 après J.-C. par l'empereur Guangwu.	1
[CLS]  Quelle est l'étoile au centre du drapeau somalien ?  [SEP]  Le drapeau somalien est un drapeau ethnique conçu pour représenter les Somaliens de souche. Il a été créé en 1954 par le savant somalien Mohammed Awale Liban, après qu'il eut été choisi par le syndicat syndical du Territoire sous tutelle de la Somalie pour élaborer un projet. Au moment de l'indépendance en 1960, le drapeau a été adopté comme drapeau national de la République somalienne naissante. L'étoile d'unité à cinq pointes au centre du drapeau représente le groupe ethnique somalien habitant les cinq territoires de la Grande Somalie.	0
[CLS]  En quelle année Jedlik a-t-il commencé à expérimenter l "électromagnétisme ?  [SEP]  Après de nombreuses autres tentatives plus ou moins réussies avec un appareil rotatif et alternatif relativement faible, le prussien Moritz von Jacobi créa en mai 1834 le premier véritable moteur électrique rotatif qui développa en fait une puissance mécanique remarquable. Son moteur établit un record du monde qui fut amélioré seulement quatre ans plus tard, en septembre 1838, par Jacobi lui-même. Son second moteur était assez puissant pour conduire un bateau de 14 personnes sur une large rivière. Ce n'est qu'en 1839 / 1840 que d'autres développeurs dans le monde parvinrent à construire des moteurs d'une puissance similaire et plus tard aussi plus performante.	1
[CLS]  Qui a réprimé le soulèvement des agermanats ?  [SEP]  La vice-reine Germaine de Foix a réprimé brutalement le soulèvement et ses dirigeants, ce qui a accéléré la centralisation autoritaire du gouvernement de Charles I. La reine Germaine a favorisé un traitement cruel des agermanats. On pense qu'elle a signé personnellement les mandats de mort de 100 anciens rebelles, et des sources indiquent que jusqu'à 800 exécutions auraient eu lieu. Les agermanats sont comparables aux comuneros de la Castille voisine, qui ont combattu une révolte similaire contre Charles de 1520 à 1522.	0
[CLS]  Combien de pays étrangers ont des bureaux commerciaux à Houston ?  [SEP]  En 2006, la région métropolitaine de Houston s'est classée première au Texas et troisième aux États-Unis dans la catégorie "Meilleurs endroits pour les affaires et les carrières" du magazine Forbes. Les gouvernements étrangers ont établi 92 bureaux consulaires dans la région métropolitaine de Houston, la troisième en importance au pays. Quarante gouvernements étrangers y ont des bureaux commerciaux et 23 chambres de commerce et associations commerciales étrangères actives. Vingt-cinq banques étrangères représentant 13 nations sont actives à Houston et fournissent une aide financière à la communauté internationale.	0
[CLS]  Qu'arrive-t-il aux parties intactes du corps si la douleur persiste pendant une longue période ?  [SEP]  Des injections locales d'anesthésique dans les nerfs ou les régions sensibles du moignon peuvent soulager la douleur pendant des jours, des semaines ou parfois de façon permanente, même si le médicament s'usera en quelques heures ; et de petites injections de soluté physiologique hypertonique dans les tissus mous entre les vertèbres produisent une douleur locale qui irradie dans le membre fantôme pendant une dizaine de minutes et peuvent être suivies par des heures, des semaines ou même plus de soulagement partiel ou total de la douleur du fantôme.	1
[CLS]  Que manquait l'indice publié le 18 décembre 2008 ?  [SEP]  Le Rapport mondial sur le développement humain 2007 / 2008, lancé à Brasilia (Brésil) le 27 novembre 2007, était axé sur le thème "Lutter contre le changement climatique : la solidarité humaine dans un monde divisé". La plupart des données utilisées pour l'établissement du rapport remontent à 2005 ou à une date antérieure, ce qui indique un IDH pour 2005. Tous les États Membres de l'ONU ne choisissent pas de fournir les statistiques nécessaires ou ne sont pas en mesure de le faire.	1
[CLS]  Après l'attaque de Napoléon, l'archiduc retira ses forces pour défendre quelle ville ?  [SEP]  Les forces françaises du sud de l'Allemagne avaient été vaincues par l'archiduc Charles en 1796, mais celui-ci retira ses forces pour protéger Vienne après avoir appris l'assaut de Napoléon. Lors de la première rencontre notable entre les deux commandants, Napoléon repoussa son adversaire et pénétra profondément dans le territoire autrichien après avoir remporté la bataille de Tarvis en mars 1797. Les Autrichiens furent alarmés par la poussée française qui atteignit Leoben, à environ 100 km de Vienne, et décidèrent finalement de poursuivre en justice pour obtenir la paix. Le Traité de Leoben, suivi du Traité de Campo Formio, plus complet, donna à la France le contrôle de la plus grande partie du nord de l'Italie et des Pays-Bas, et une clause secrète promettait la République de Venise à l'Autriche. Bonaparte marcha sur Venise et força sa reddition, mettant fin à	0
[CLS]  Le choix des parents a éclairé quelle pratique controversée ?  [SEP]  L'Écosse a un système éducatif très différent de celui de l'Angleterre et du pays de Galles, bien qu'il soit également fondé sur l'enseignement général. Il a des âges de transfert différents, des examens différents et une philosophie de choix et d'offre différente. Toutes les écoles primaires et secondaires financées par des fonds publics sont complètes. Le Gouvernement écossais a rejeté les projets d'écoles spécialisées à compter de 2005.	1
[CLS]  Sous qui le Club de Secunderabad et le Club de Nizam ont-ils été créés ?  [SEP]  Sous le régime britannique, Secunderabad est devenu un centre sportif bien connu et de nombreux terrains de courses, de défilés et de polo ont été construits : 18 De nombreux clubs d "élite formés par les Nizams et les Britanniques, comme le Secunderabad Club, le Nizam Club et le Hyderabad Race Club, qui est connu pour ses courses de chevaux, en particulier le derby annuel du Deccan, existent toujours. Plus récemment, les sports motorisés sont devenus populaires avec l'Andhra Pradesh Motor Sports Club qui organise des événements populaires comme le Deccan ¼ Mile Drag, les Rallyes du TSD et le rallye tout terrain 4x4.	0
[CLS]  Les premières organisations d'État étaient dirigées par quoi ?  [SEP]  A la fin de leurs mouvements migratoires, les Slaves firent apparaître les premiers rudiments des organisations d'Etat, chacune dirigée par un prince doté d'un trésor et d'une force de défense, et ce furent les prémices de la différenciation des classes, et les nobles prêtèrent allégeance soit aux Empereurs franquistes et saints romains, soit aux Empereurs byzantins.	0
[CLS]  Combien de personnes travaillent en Suisse ?  [SEP]  La Suisse est un pays où il est relativement facile de faire des affaires, se classant actuellement au 20e rang sur 189 pays pour ce qui est de l'indice Ease of Doing Business Index. La faible croissance que la Suisse a connue dans les années 1990 et au début des années 2000 a suscité un plus grand soutien aux réformes économiques et à l'harmonisation avec l'Union européenne. Selon le Credit Suisse, seulement 37 % des résidents possèdent leur propre maison, l'un des taux d'accession à la propriété les plus faibles d'Europe. Les prix du logement et de l'alimentation étaient de 171 % et 145 % de l'indice de l'UE-25 en 2007, comparativement à 113 % et 104 % en Allemagne.	1
[CLS]  Où certaines personnes mangent-elles des chiens ?  [SEP]  La viande de chien est consommée dans certains pays de l'Asie de l'Est, dont la Corée, la Chine et le Vietnam, une pratique qui remonte à l'Antiquité. On estime que 16 millions de chiens sont tués et consommés en Asie chaque année. D'autres cultures, comme la Polynésie et le Mexique précolombien, ont également consommé de la viande de chien au cours de leur histoire. Cependant, les cultures occidentales, sud-asiatiques, africaines et moyen-orientales considèrent en général la consommation de viande de chien comme un tabou. Cependant, dans certains endroits, comme dans les régions rurales de la Pologne, on croit que la graisse de chien a des propriétés médicinales qui sont bonnes pour les poumons, par exemple. La viande de chien est également consommée dans certaines parties de la Suisse. Les partisans de la consommation de viande de chien ont fait valoir que faire une distinction entre le bétail et les chiens est une hypocrisie occidentale et qu'	0
[CLS]  Sur quelle chaîne de montagnes la Suisse s'étend-elle tant au nord qu'au sud ?  [SEP]  S'étendant sur les côtés nord et sud des Alpes dans le centre-ouest de l'Europe, la Suisse offre une grande diversité de paysages et de climats sur une superficie limitée de 41 285 kilomètres carrés (15 940 milles carrés). Sa population est d'environ 8 millions d'habitants, ce qui donne une densité moyenne d'environ 195 habitants au kilomètre carré (500 milles carrés). La moitié sud du pays, plus montagneuse, est beaucoup moins peuplée que la moitié nord. Dans le plus grand canton des Grisons, situé entièrement dans les Alpes, la densité de population chute à 27 / km ² (70 milles carrés).	0
[CLS]  De qui Kanye s'est-il emparé du micro pour faire sa déclaration ?  [SEP]  À la suite de cet incident très médiatisé, West a fait une brève pause dans la musique et s'est lancé dans la mode, pour ensuite écrire et enregistrer son prochain album à Hawaï au cours des prochains mois. Important ses producteurs et artistes préférés pour travailler sur son enregistrement et l'inspirer, West a gardé des ingénieurs derrière les conseils d'administration 24 heures par jour et n'a dormi que par incréments. Noah Callahan-Bever, écrivain pour Complex, était présent pendant les séances et a décrit l'atmosphère "communautaire" comme suit : "Avec les bonnes chansons et le bon album, il peut surmonter toute controverse, et nous sommes ici pour contribuer, défier et inspirer". Une variété d'artistes ont contribué au projet, y compris des amis proches Jay-Z, Kid Cudi et Pusha T, ainsi que des collaborations hors du commun, comme avec Justin Vernon de Bon Iver.	1
